,Country,Region,Happiness Rank,Happiness Score,Economy,Health,Freedom,Trust,Generosity,year
718,China,East Asia,93.0,5.191,1.029,0.893,1.042,0.1,1.183,2019.0
719,Vietnam,Southeast Asia,94.0,5.175,0.741,0.851,1.086,0.073,1.493,2019.0
720,Bhutan,South Asia,95.0,5.082,0.813,0.604,0.914,0.167,1.6909999999999998,2019.0
721,Cameroon,Sub-Saharan Africa,96.0,5.044,0.549,0.331,0.762,0.037,1.097,2019.0
722,Bulgaria,Central and Eastern Europe,97.0,5.011,1.092,0.815,0.622,0.004,1.5939999999999999,2019.0
723,Ghana,Sub-Saharan Africa,98.0,4.996,0.611,0.486,0.762,0.04,1.113,2019.0
724,Ivory Coast,Sub-Saharan Africa,99.0,4.944,0.569,0.232,0.704,0.09,0.9620000000000001,2019.0
725,Nepal,South Asia,100.0,4.913,0.446,0.677,0.878,0.089,1.511,2019.0
726,Jordan,Middle East and North Africa,101.0,4.906,0.837,0.815,0.766,0.13,1.3350000000000002,2019.0
727,Benin,Sub-Saharan Africa,102.0,4.883,0.393,0.397,0.698,0.082,0.612,2019.0
728,Congo (Brazzaville),Sub-Saharan Africa,103.0,4.812,0.673,0.508,0.744,0.093,0.904,2019.0
729,Gabon,Sub-Saharan Africa,104.0,4.799,1.057,0.571,0.59,0.055,1.226,2019.0
730,Laos,Southeast Asia,105.0,4.796,0.764,0.551,1.094,0.164,1.296,2019.0
731,South Africa,Sub-Saharan Africa,106.0,4.722,0.96,0.469,0.778,0.055,1.4809999999999999,2019.0
732,Albania,Central and Eastern Europe,107.0,4.719,0.947,0.874,0.766,0.027,1.026,2019.0
733,Venezuela,Latin America and Caribbean,108.0,4.707,0.96,0.805,0.308,0.047,1.491,2019.0
734,Cambodia,Southeast Asia,109.0,4.7,0.574,0.637,1.218,0.062,1.354,2019.0
735,Palestinian Territories,Middle East and North Africa,110.0,4.696,0.657,0.672,0.45,0.066,1.35,2019.0
736,Senegal,Sub-Saharan Africa,111.0,4.681,0.45,0.571,0.584,0.072,1.287,2019.0
737,Somalia,Sub-Saharan Africa,112.0,4.668,0.0,0.268,1.118,0.27,0.941,2019.0
738,Namibia,Sub-Saharan Africa,113.0,4.639,0.879,0.477,0.802,0.056,1.383,2019.0
739,Niger,Sub-Saharan Africa,114.0,4.628,0.138,0.366,0.636,0.102,0.962,2019.0
740,Burkina Faso,Sub-Saharan Africa,115.0,4.587,0.331,0.38,0.51,0.113,1.233,2019.0
741,Armenia,Commonwealth of Independent States,116.0,4.559,0.85,0.815,0.566,0.064,1.15,2019.0
742,Iran,Middle East and North Africa,117.0,4.548,1.1,0.785,0.61,0.125,1.112,2019.0
743,Guinea,Sub-Saharan Africa,118.0,4.534,0.38,0.375,0.664,0.086,1.036,2019.0
744,Georgia,Commonwealth of Independent States,119.0,4.519,0.886,0.752,0.692,0.164,0.7090000000000001,2019.0
745,Gambia,Sub-Saharan Africa,120.0,4.516,0.308,0.428,0.764,0.167,1.208,2019.0
746,Kenya,Sub-Saharan Africa,121.0,4.509,0.512,0.581,0.862,0.053,1.355,2019.0
747,Mauritania,Sub-Saharan Africa,122.0,4.49,0.57,0.489,0.132,0.088,1.2730000000000001,2019.0
748,Mozambique,Sub-Saharan Africa,123.0,4.466,0.204,0.39,0.988,0.138,1.183,2019.0
749,Tunisia,Middle East and North Africa,124.0,4.461,0.921,0.815,0.334,0.055,1.059,2019.0
750,Bangladesh,South Asia,125.0,4.456,0.562,0.723,1.054,0.143,1.094,2019.0
751,Iraq,Middle East and North Africa,126.0,4.437,1.043,0.574,0.482,0.089,1.128,2019.0
752,Congo (Kinshasa),Sub-Saharan Africa,127.0,4.418,0.094,0.357,0.538,0.053,1.337,2019.0
753,Mali,Sub-Saharan Africa,128.0,4.39,0.385,0.308,0.654,0.052,1.258,2019.0
754,Sierra Leone,Sub-Saharan Africa,129.0,4.374,0.268,0.242,0.618,0.045,1.093,2019.0
755,Sri Lanka,South Asia,130.0,4.366,0.949,0.831,0.94,0.047,1.509,2019.0
756,Myanmar,Southeast Asia,131.0,4.36,0.71,0.555,1.05,0.172,1.7469999999999999,2019.0
757,Chad,Sub-Saharan Africa,132.0,4.35,0.35,0.192,0.348,0.078,0.964,2019.0
758,Ukraine,Commonwealth of Independent States,133.0,4.332,0.82,0.739,0.356,0.01,1.577,2019.0
759,Ethiopia,Sub-Saharan Africa,134.0,4.286,0.336,0.532,0.688,0.1,1.242,2019.0
760,Kingdom of Eswatini ,Sub-Saharan Africa,135.0,4.212,0.811,0.0,0.626,0.135,1.223,2019.0
761,Uganda,Sub-Saharan Africa,136.0,4.189,0.332,0.443,0.712,0.06,1.321,2019.0
762,Egypt,Middle East and North Africa,137.0,4.166,0.913,0.644,0.482,0.067,1.115,2019.0
763,Zambia,Sub-Saharan Africa,138.0,4.107,0.578,0.426,0.862,0.087,1.3050000000000002,2019.0
764,Togo,Sub-Saharan Africa,139.0,4.085,0.275,0.41,0.586,0.085,0.7489999999999999,2019.0
765,India,South Asia,140.0,4.015,0.755,0.588,0.996,0.085,0.9650000000000001,2019.0
766,Liberia,Sub-Saharan Africa,141.0,3.975,0.073,0.443,0.74,0.033,1.155,2019.0
767,Comoros,Sub-Saharan Africa,142.0,3.973,0.274,0.505,0.284,0.078,1.032,2019.0
768,Madagascar,Sub-Saharan Africa,143.0,3.933,0.274,0.555,0.296,0.041,1.085,2019.0
769,Lesotho,Sub-Saharan Africa,144.0,3.802,0.489,0.168,0.718,0.093,1.276,2019.0
770,Burundi,Sub-Saharan Africa,145.0,3.775,0.046,0.38,0.44,0.18,0.623,2019.0
771,Zimbabwe,Sub-Saharan Africa,146.0,3.663,0.366,0.433,0.722,0.089,1.2650000000000001,2019.0
772,Haiti,Latin America and Caribbean,147.0,3.597,0.323,0.449,0.052,0.11,1.107,2019.0
773,Botswana,Sub-Saharan Africa,148.0,3.488,1.041,0.538,0.91,0.1,1.17,2019.0
774,Syria,Middle East and North Africa,149.0,3.462,0.619,0.44,0.026,0.141,0.7090000000000001,2019.0
775,Malawi,Sub-Saharan Africa,150.0,3.41,0.191,0.495,0.886,0.089,0.778,2019.0
776,Yemen,Middle East and North Africa,151.0,3.38,0.287,0.463,0.286,0.077,1.2710000000000001,2019.0
777,Rwanda,Sub-Saharan Africa,152.0,3.334,0.359,0.614,1.11,0.411,0.9279999999999999,2019.0
778,Tanzania,Sub-Saharan Africa,153.0,3.231,0.476,0.499,0.834,0.147,1.161,2019.0
779,Afghanistan,South Asia,154.0,3.203,0.35,0.361,0.0,0.025,0.675,2019.0
780,Central African Republic,Sub-Saharan Africa,155.0,3.083,0.026,0.105,0.45,0.035,0.235,2019.0
781,South Sudan,Sub-Saharan Africa,156.0,2.853,0.306,0.295,0.02,0.091,0.7769999999999999,2019.0
782,Finland,Western Europe,1.0,7.808700085,1.285189509,0.961271405,2.560661138,0.673301846,2.394373615,2020.0
783,Denmark,Western Europe,2.0,7.645599842,1.326948524,0.979332566,2.567928433,0.6637497840000001,2.525641769,2020.0
784,Switzerland,Western Europe,3.0,7.559899807,1.39077425,1.040533185,2.4716277719999997,0.7116743320000001,2.521161042,2020.0
785,Iceland,Western Europe,4.0,7.504499912,1.326501608,1.000843406,2.559764504,0.8562505100000001,2.769181282,2020.0
786,Norway,Western Europe,5.0,7.487999916,1.42420733,1.008071899,2.581701458,0.6973187620000001,2.582191706,2020.0
787,Netherlands,Western Europe,6.0,7.448900223,1.338946342,0.975675344,2.4307221180000003,0.7332868880000001,2.610397205,2020.0
788,Sweden,Western Europe,7.0,7.353499889,1.322235227,0.986470461,2.528586089,0.6929465530000001,2.4712735190000004,2020.0
789,New Zealand,Oceania,8.0,7.299600124,1.242317915,1.008138299,2.519224882,0.682407126,2.627935425,2020.0
790,Austria,Western Europe,9.0,7.294199944,1.317285538,1.000933528,2.40334785,0.781211018,2.4509200150000003,2020.0
791,Luxembourg,Western Europe,10.0,7.237500191,1.536676049,0.986442685,2.421409905,0.7341257640000001,2.289820039,2020.0
792,Canada,North America,11.0,7.23210001,1.301647663,1.022501945,2.511854589,0.7425452180000001,2.4873393249999998,2020.0
793,Australia,Oceania,12.0,7.222799778,1.310396433,1.022607684,2.4527406689999998,0.751165539,2.612461045,2020.0
794,United Kingdom,Western Europe,13.0,7.164500237,1.273061037,0.97570008,2.194656015,0.7585175630000001,2.658260286,2020.0
795,Israel,Middle East and North Africa,14.0,7.128600121,1.216463685,1.008052945,1.9158606530000002,0.88075351,2.419421733,2020.0
796,Costa Rica,Latin America and Caribbean,15.0,7.121399879,0.981107712,0.939635336,2.514495611,0.88269452,2.173969843,2020.0
797,Ireland,Western Europe,16.0,7.093699932,1.446886778,0.975670695,2.361745893,0.730617434,2.558462978,2020.0
798,Germany,Western Europe,17.0,7.075799942,1.314184546,0.972114801,2.299016296,0.765784323,2.3475975919999996,2020.0
799,United States,North America,18.0,6.939599991,1.37398684,0.831618011,2.219847321,0.852000057,2.468897462,2020.0
800,Czechia,Central and Eastern Europe,19.0,6.910900116,1.212322354,0.89456445,2.142819284,0.908249463,2.088855833,2020.0
801,Belgium,Western Europe,20.0,6.863500118,1.295842767,0.964901149,2.126969547,0.821022004,2.231618927,2020.0
802,United Arab Emirates,Middle East and North Africa,21.0,6.790800095,1.431086421,0.787814438,2.535627127,0.814715729,2.223802954,2020.0
803,Malta,Western Europe,22.0,6.772799969,1.252513289,0.972042024,2.483061909,0.8374113590000001,2.588302239,2020.0
804,France,Western Europe,23.0,6.663799763,1.268129349,1.029714227,2.164986193,0.810824365,2.265300959,2020.0
805,Mexico,Latin America and Caribbean,24.0,6.465000153,1.024387479,0.831601024,2.271311105,0.889955253,1.889732302,2020.0
806,Taiwan,East Asia,25.0,6.45539999,1.327470541,0.878437996,1.9924650490000002,0.863399282,2.178871073,2020.0
807,Uruguay,Latin America and Caribbean,26.0,6.440100193,1.071000457,0.856928885,2.379057944,0.82941921,2.246789292,2020.0
808,Saudi Arabia,Middle East and North Africa,27.0,6.406499863,1.334328532,0.759818137,2.256859959,0.8459418270000001,2.015322119,2020.0
809,Spain,Western Europe,28.0,6.400899887,1.230535269,1.051343083,1.929962902,0.875439681,2.291262884,2020.0
810,Guatemala,Latin America and Caribbean,29.0,6.398900032,0.753815711,0.705952585,2.429441868,0.881597757,1.947949871,2020.0
811,Italy,Western Europe,30.0,6.38740015,1.236396074,1.022504926,1.650609553,0.9135502799999999,2.193713572,2020.0
812,Singapore,Southeast Asia,31.0,6.377099991,1.519580126,1.137814283,2.488607884,0.642946429,2.335605096,2020.0
813,Brazil,Latin America and Caribbean,32.0,6.375599861,0.952679873,0.766119063,2.0829023429999998,0.877119877,2.158375532,2020.0
814,Slovenia,Central and Eastern Europe,33.0,6.363399982,1.208652496,0.932548046,2.51898539,0.893587344,2.32364998,2020.0
815,El Salvador,Latin America and Caribbean,34.0,6.34829998,0.748940408,0.752730012,2.191654444,0.871350258,1.834416896,2020.0
816,Kosovo,Central and Eastern Europe,35.0,6.325200081,0.840481341,0.672709167,2.280352235,0.9308873169999999,2.1956230999999997,2020.0
817,Panama,Latin America and Caribbean,36.0,6.304800034,1.097667813,0.878546536,2.340582788,0.905819431,2.124316066,2020.0
818,Slovakia,Central and Eastern Europe,37.0,6.280600071,1.194837689,0.853465259,1.923447877,0.929387566,2.222415641,2020.0
819,Uzbekistan,Commonwealth of Independent States,38.0,6.257599831,0.696652949,0.716703713,2.643266558,0.781757653,2.609043002,2020.0
820,Chile,Latin America and Caribbean,39.0,6.228499889,1.096992493,0.889260828,1.9072748130000001,0.901088781,2.137332119,2020.0
821,Bahrain,Middle East and North Africa,40.0,6.227300167,1.296692252,0.838836372,2.422111452,0.866044357,2.325395018,2020.0
822,Lithuania,Central and Eastern Europe,41.0,6.215499878,1.193559647,0.795421183,1.915223688,0.890934117,2.139247552,2020.0
823,Trinidad and Tobago,Latin America and Caribbean,42.0,6.191899776,1.167641521,0.658828557,2.268745362,0.9273090070000001,2.323147232,2020.0
824,Poland,Central and Eastern Europe,43.0,6.186299801,1.16922915,0.868038476,2.282015086,0.847468272,1.9795731449999998,2020.0
825,Colombia,Latin America and Caribbean,44.0,6.163400173,0.93220371,0.810020149,2.199249863,0.91042018,2.057655558,2020.0
826,Cyprus,Western Europe,45.0,6.15899992,1.21279943,1.026124597,2.019102454,0.907478888,1.9988984909999998,2020.0
827,Nicaragua,Latin America and Caribbean,46.0,6.13710022,0.620033145,0.803093255,2.2879230379999997,0.840034693,2.149268927,2020.0
828,Romania,Central and Eastern Europe,47.0,6.123700142,1.120401621,0.79229486,2.22049874,0.935129813,1.821784407,2020.0
829,Kuwait,Middle East and North Africa,48.0,6.102099895,1.424833655,0.776468933,2.3149943950000003,0.873663992,1.991070368,2020.0
830,Mauritius,Sub-Saharan Africa,49.0,6.101299763,1.07366395,0.763389409,2.3699072,0.88943132,2.287706098,2020.0
831,Kazakhstan,Commonwealth of Independent States,50.0,6.057899952,1.122594237,0.698788941,2.120636016,0.874954529,2.319523954,2020.0
832,Estonia,Central and Eastern Europe,51.0,6.021800041,1.192441225,0.842615008,2.332083105,0.8248406349999999,2.276264749,2020.0
833,Philippines,Southeast Asia,52.0,6.006000042,0.775120676,0.602189481,2.452842058,0.864019841,1.98664876,2020.0
834,Hungary,Central and Eastern Europe,53.0,6.000400066,1.164307117,0.806793869,1.824330956,0.920464674,2.150620506,2020.0
835,Thailand,Southeast Asia,54.0,5.998799801,1.007029295,0.793855846,2.41957587,0.9181101730000001,2.506177932,2020.0
836,Argentina,Latin America and Caribbean,55.0,5.974699974,1.028465629,0.849773705,2.1831051710000002,0.902424901,2.078197778,2020.0
837,Honduras,Latin America and Caribbean,56.0,5.953199863,0.598763585,0.791989982,2.309354603,0.887939006,2.095503367,2020.0
838,Latvia,Central and Eastern Europe,57.0,5.949999809,1.14139545,0.777902424,1.671674103,0.8859716129999999,2.145798534,2020.0
839,Ecuador,Latin America and Caribbean,58.0,5.925199986,0.853383601,0.838837743,2.2748924489999998,0.887968495,1.930431634,2020.0
840,Portugal,Western Europe,59.0,5.910900116,1.168800831,0.979315281,2.367390811,0.92036297,2.0054067669999998,2020.0
841,Jamaica,Latin America and Caribbean,60.0,5.889800072,0.779058397,0.788434088,2.269261659,0.9190378130000001,2.198884293,2020.0
842,South Korea,East Asia,61.0,5.872399807,1.245300651,1.022542596,1.485286564,0.883663729,1.889543663,2020.0
843,Japan,East Asia,62.0,5.870800018,1.26672411,1.072881341,2.115388633,0.8359977009999999,1.968974277,2020.0
844,Peru,Latin America and Caribbean,63.0,5.796800137,0.91854918,0.824444175,2.162742256,0.920747624,1.8770930030000001,2020.0
845,Serbia,Central and Eastern Europe,64.0,5.77820015,0.988181829,0.828403294,1.848420143,0.902956165,2.13524849,2020.0
846,Bolivia,Latin America and Caribbean,65.0,5.747499943,0.730976343,0.662445664,2.326211154,0.895548843,1.853778116,2020.0
847,Pakistan,South Asia,66.0,5.69329977,0.616799474,0.469933242,1.875089168,0.8682975470000001,1.606941748,2020.0
848,Paraguay,Latin America and Caribbean,67.0,5.692100048,0.897990823,0.735869646,2.358356952,0.89986588,2.274923167,2020.0
849,Dominican Republic,Latin America and Caribbean,68.0,5.689199924,0.983191848,0.741901696,2.295279444,0.871945605,2.0797109899999997,2020.0
850,Bosnia and Herzegovina,Central and Eastern Europe,69.0,5.674099922,0.91839546,0.813928187,1.6080711490000001,0.9349415940000001,2.131465227,2020.0
851,Moldova,Commonwealth of Independent States,70.0,5.607500076,0.707916796,0.713299453,1.832789838,0.927693027,2.042884734,2020.0
852,Tajikistan,Commonwealth of Independent States,71.0,5.555699825,0.474874616,0.680594802,2.1839079850000003,0.813855976,2.0285863060000002,2020.0
853,Montenegro,Central and Eastern Europe,72.0,5.54610014,1.010150075,0.839028895,1.602355122,0.8815566970000001,2.045372158,2020.0
854,Russia,Commonwealth of Independent States,73.0,5.546000004,1.126999617,0.68044591,1.859284819,0.910501961,2.130641103,2020.0
855,Kyrgyzstan,Commonwealth of Independent States,74.0,5.541500092,0.513180971,0.680645883,2.433367551,0.918862775,2.3830372239999997,2020.0
856,Belarus,Commonwealth of Independent States,75.0,5.539899826,1.018854499,0.75258857,1.569082022,0.829319105,2.128960236,2020.0
857,Northern Cyprus,Western Europe,76.0,5.53550005,1.21279943,1.026124597,2.068472743,0.8259185849999999,2.003672903,2020.0
858,Greece,Western Europe,77.0,5.514999866,1.128070116,0.979431748,1.256206586,0.908775761,1.68244654,2020.0
859,Hong Kong S.A.R. of China,East Asia,78.0,5.510399818,1.376746058,1.136630654,2.0190241049999997,0.753092646,2.22453326,2020.0
860,Croatia,Central and Eastern Europe,79.0,5.504700184,1.109024286,0.900575578,1.811134488,0.92882027,2.057350264,2020.0
861,Libya,Middle East and North Africa,80.0,5.488800049,1.021913767,0.615626633,1.997668059,0.841037214,1.937172145,2020.0
862,Mongolia,East Asia,81.0,5.456200123,0.904872775,0.615788162,1.742405771,0.910044331,2.49416697,2020.0
863,Malaysia,Southeast Asia,82.0,5.384300232,1.168421626,0.788511872,2.386195243,0.901465434,2.1052385129999998,2020.0
864,Vietnam,Southeast Asia,83.0,5.353499889,0.718092382,0.819133997,2.530021488,0.886269689,2.0085285820000003,2020.0
865,Indonesia,Southeast Asia,84.0,5.285600185,0.891720712,0.610437036,2.309390246,0.914575014,2.482767285,2020.0
866,Ivory Coast,Sub-Saharan Africa,85.0,5.233300209,0.537094414,0.154942513,1.852941186,0.884267755,1.4137847940000001,2020.0
867,Benin,Sub-Saharan Africa,86.0,5.21600008,0.366244704,0.328062952,1.8762050559999999,0.8664644509999999,0.817562366,2020.0
868,Maldives,South Asia,87.0,5.197599888,0.937864304,0.914439559,2.2561292049999997,0.896117553,2.35353402,2020.0
869,Congo (Brazzaville),Sub-Saharan Africa,88.0,5.194399834,0.633616745,0.458101124,1.824631423,0.8704498629999999,1.274190009,2020.0
870,Azerbaijan,Commonwealth of Independent States,89.0,5.164800167,0.990272701,0.731134057,2.041382938,0.799844741,1.759666041,2020.0
871,North Macedonia,Central and Eastern Europe,90.0,5.159800053,0.935371995,0.802994132,1.8879064629999998,0.9220855600000001,1.9836883969999999,2020.0
872,Ghana,Sub-Saharan Africa,91.0,5.147999763,0.575862467,0.432162255,2.066883116,0.904535145,1.789139911,2020.0
873,Nepal,South Asia,92.0,5.137199879,0.444050372,0.66887939,2.075738341,0.865602121,2.040470585,2020.0
874,Turkey,Middle East and North Africa,93.0,5.131800175,1.127169251,0.781335294,1.472061664,0.86918062,1.85242629,2020.0
875,China,East Asia,94.0,5.123899937,0.990533412,0.867248535,2.398640931,0.871226654,1.749415517,2020.0
876,Turkmenistan,Commonwealth of Independent States,95.0,5.119100094,1.008963585,0.612448037,2.168150724,0.917195737,2.657114685,2020.0
877,Bulgaria,Central and Eastern Europe,96.0,5.101500034,1.046554685,0.777776897,1.9081763919999999,0.935585141,2.25451082,2020.0
878,Morocco,Middle East and North Africa,97.0,5.094799995,0.75862211,0.745096922,1.9941990070000002,0.8931102150000001,0.9974597100000001,2020.0
879,Cameroon,Sub-Saharan Africa,98.0,5.084899902,0.503958046,0.270189553,1.9653460980000002,0.90573002,1.598616405,2020.0
880,Venezuela,Latin America and Caribbean,99.0,5.053199768,0.770238638,0.76702553,1.5182738610000002,0.900663175,2.0698645119999997,2020.0
881,Algeria,Middle East and North Africa,100.0,5.005099773,0.943856001,0.745418549,1.017165617,0.8646757909999999,1.825283558,2020.0
882,Senegal,Sub-Saharan Africa,101.0,4.980800152,0.504061818,0.518391907,1.7335932250000001,0.890651078,1.6258742700000002,2020.0
883,Guinea,Sub-Saharan Africa,102.0,4.949299812,0.390007734,0.333655238,1.785571606,0.873999007,1.4652679119999998,2020.0
884,Niger,Sub-Saharan Africa,103.0,4.909599781,0.108330332,0.298816353,1.954855859,0.8600849509999999,1.3350959969999998,2020.0
885,Laos,Southeast Asia,104.0,4.888599873,0.714693844,0.486378282,2.426454425,0.828953281,1.836265586,2020.0
886,Albania,Central and Eastern Europe,105.0,4.882699966,0.906653047,0.846329629,2.025934339,0.921664998,1.459244881,2020.0
887,Cambodia,Southeast Asia,106.0,4.848400116,0.544634938,0.587904334,2.5943496240000004,0.895606548,1.89641786,2020.0
888,Bangladesh,South Asia,107.0,4.832799911,0.556156278,0.694940507,2.405380546,0.838579446,1.5224288480000001,2020.0
889,Gabon,Sub-Saharan Africa,108.0,4.829299927,0.988044381,0.522574842,1.779118329,0.904955495,1.672022745,2020.0
890,South Africa,Sub-Saharan Africa,109.0,4.814099789,0.902140439,0.407034069,1.953442008,0.9029259829999999,2.001841195,2020.0
891,Iraq,Middle East and North Africa,110.0,4.784800053,0.982018709,0.529350698,1.549953342,0.895426802,1.6895968309999998,2020.0
892,Lebanon,Middle East and North Africa,111.0,4.771500111,0.889232516,0.788671136,1.288231686,0.923774397,1.955616188,2020.0
893,Burkina Faso,Sub-Saharan Africa,112.0,4.768700123,0.302467644,0.312833875,1.653525322,0.866203084,1.6232489979999998,2020.0
894,Gambia,Sub-Saharan Africa,113.0,4.750599861,0.256990552,0.353247881,1.86974588,0.848811611,1.919046105,2020.0
895,Mali,Sub-Saharan Africa,114.0,4.729300022,0.352462649,0.234981522,1.800666749,0.901474684,1.66024378,2020.0
896,Nigeria,Sub-Saharan Africa,115.0,4.724100113,0.645901859,0.167835936,1.954236269,0.909464277,1.757680636,2020.0
897,Armenia,Commonwealth of Independent States,116.0,4.676799774,0.808262408,0.77585727,1.8021114759999999,0.878162972,1.653276712,2020.0
898,Georgia,Commonwealth of Independent States,117.0,4.672599792,0.847198069,0.694657624,2.088777155,0.840032771,1.131306559,2020.0
899,Iran,Middle East and North Africa,118.0,4.672399998,1.029322505,0.749053836,1.5969420360000002,0.857287481,1.698851973,2020.0
900,Jordan,Middle East and North Africa,119.0,4.633399963,0.785179198,0.777624726,1.926950663,0.852222949,1.7797171170000001,2020.0
901,Mozambique,Sub-Saharan Africa,120.0,4.623600006,0.178741366,0.324223638,2.28967911,0.8460834180000001,1.711452778,2020.0
902,Kenya,Sub-Saharan Africa,121.0,4.583000183,0.476413399,0.536312759,2.178675652,0.898700237,1.902411311,2020.0
903,Namibia,Sub-Saharan Africa,122.0,4.571100235,0.84008199,0.40687117,1.979640901,0.905770131,1.907312661,2020.0
904,Ukraine,Commonwealth of Independent States,123.0,4.56069994,0.780434608,0.698674381,1.645587473,0.930287874,2.169262143,2020.0
905,Liberia,Sub-Saharan Africa,124.0,4.557899952,0.174103007,0.392284274,1.8764805199999999,0.9075158090000001,1.672287699,2020.0
906,Palestinian Territories,Middle East and North Africa,125.0,4.552800179,0.587819219,0.613826573,1.590284408,0.896113627,1.8579723830000001,2020.0
907,Uganda,Sub-Saharan Africa,126.0,4.43200016,0.312337428,0.378311664,1.8651104580000002,0.900556654,1.916809446,2020.0
908,Chad,Sub-Saharan Africa,127.0,4.422699928,0.302287489,0.1087441,1.4032122649999998,0.888516247,1.3893410519999998,2020.0
909,Tunisia,Middle East and North Africa,128.0,4.392199993,0.874742687,0.781156719,1.42258367,0.9114898220000001,1.344472452,2020.0
910,Mauritania,Sub-Saharan Africa,129.0,4.374599934,0.539684892,0.425184816,1.2887595889999999,0.868481144,1.7981346550000001,2020.0
911,Sri Lanka,South Asia,130.0,4.327000141,0.897986948,0.792036712,2.2038998000000003,0.9084463199999999,2.101443775,2020.0
912,Congo (Kinshasa),Sub-Saharan Africa,131.0,4.31099987,0.062487468,0.277212054,1.7662101080000001,0.890870243,1.58885169,2020.0
913,Kingdom of Eswatini ,Sub-Saharan Africa,132.0,4.308100224,0.827539742,0.215585828,1.593580336,0.855029211,1.635923967,2020.0
914,Myanmar,Southeast Asia,133.0,4.308000088,0.67809093,0.495443076,2.3876292709999998,0.8326546699999999,2.4432492850000003,2020.0
915,Comoros,Sub-Saharan Africa,134.0,4.288599968,0.415620774,0.437383324,1.2762534460000001,0.880671137,1.4389036599999998,2020.0
916,Togo,Sub-Saharan Africa,135.0,4.187200069,0.268116266,0.342731178,1.6031962640000001,0.8725599199999999,1.1016033589999998,2020.0
917,Ethiopia,Sub-Saharan Africa,136.0,4.186200142,0.315125644,0.483846247,1.89415726,0.871127039,1.7877879660000002,2020.0
918,Madagascar,Sub-Saharan Africa,137.0,4.165599823,0.244553208,0.500617027,1.3081157350000001,0.8937342690000001,1.480066612,2020.0
919,Egypt,Middle East and North Africa,138.0,4.151400089,0.875228941,0.596911311,1.790393084,0.8831886720000001,1.521109045,2020.0
920,Sierra Leone,Sub-Saharan Africa,139.0,3.926399946,0.240560383,0.203953966,1.812657774,0.9092716240000001,1.472787708,2020.0
921,Burundi,Sub-Saharan Africa,140.0,3.775300026,0.0,0.295212835,1.5280995069999999,0.819121375,0.876349393,2020.0
922,Zambia,Sub-Saharan Africa,141.0,3.759399891,0.536833763,0.36359334,2.104318052,0.8879949159999999,1.672898874,2020.0
923,Haiti,Latin America and Caribbean,142.0,3.720799923,0.284734428,0.37436673,1.2449478500000002,0.8467029180000001,1.6404537559999999,2020.0
924,Lesotho,Sub-Saharan Africa,143.0,3.652800083,0.45493874,0.100934811,1.8856192539999999,0.907875896,1.723703682,2020.0
925,India,South Asia,144.0,3.573299885,0.730576158,0.54057014,2.344031989,0.8776306739999999,1.293951198,2020.0
926,Malawi,Sub-Saharan Africa,145.0,3.538000107,0.176534727,0.446163297,2.093836219,0.86333473,1.09580867,2020.0
927,Yemen,Middle East and North Africa,146.0,3.527400017,0.392701775,0.41500017,1.443562031,0.8876398510000001,1.8377222709999999,2020.0
928,Botswana,Sub-Saharan Africa,147.0,3.478899956,0.997548997,0.494101733,2.151745618,0.879717283,1.614422054,2020.0
929,Tanzania,Sub-Saharan Africa,148.0,3.476200104,0.457163125,0.442677855,2.152422608,0.823680296,1.6712765250000001,2020.0
930,Central African Republic,Sub-Saharan Africa,149.0,3.475899935,0.041072082,0.0,1.574575751,0.92007138,0.401870214,2020.0
931,Rwanda,Sub-Saharan Africa,150.0,3.312299967,0.343242675,0.572383285,2.405266701,0.669083655,1.119195714,2020.0
932,Zimbabwe,Sub-Saharan Africa,151.0,3.299200058,0.425564021,0.375037611,1.800320536,0.891165569,1.7388640340000001,2020.0
933,South Sudan,Sub-Saharan Africa,152.0,2.816600084,0.289082974,0.208809033,0.968236484,0.8745741029999999,1.123504177,2020.0
934,Afghanistan,South Asia,153.0,2.566900015,0.30070585,0.266051531,0.793146014,0.934912339,0.730371394,2020.0
935,Finland,Western Europe,1.0,7.842,1.446,0.741,2.589,0.667,1.9620000000000002,2021.0
936,Denmark,Western Europe,2.0,7.62,1.502,0.763,2.578,0.6639999999999999,2.092,2021.0
937,Switzerland,Western Europe,3.0,7.571,1.566,0.816,2.491,0.705,2.046,2021.0
938,Iceland,Western Europe,4.0,7.554,1.482,0.772,2.6079999999999997,0.8430000000000001,2.315,2021.0
939,Netherlands,Western Europe,5.0,7.464,1.501,0.753,2.473,0.722,2.1959999999999997,2021.0
940,Norway,Western Europe,6.0,7.392,1.543,0.782,2.6229999999999998,0.6970000000000001,2.1550000000000002,2021.0
941,Sweden,Western Europe,7.0,7.363,1.478,0.763,2.575,0.685,2.082,2021.0
942,Luxembourg,Western Europe,8.0,7.324,1.751,0.76,2.4530000000000003,0.739,1.8769999999999998,2021.0
943,New Zealand,Oceania,9.0,7.277,1.4,0.785,2.523,0.687,2.176,2021.0
944,Austria,Western Europe,10.0,7.268,1.492,0.782,2.456,0.7729999999999999,2.0380000000000003,2021.0
945,Australia,Oceania,11.0,7.183,1.453,0.801,2.475,0.759,2.175,2021.0
946,Israel,Middle East and North Africa,12.0,7.157,1.376,0.788,2.109,0.872,2.044,2021.0
947,Germany,Western Europe,13.0,7.155,1.48,0.757,2.35,0.766,1.907,2021.0
